1	PHÒNG_CHỐNG	Ny	B-PER	4	sub
2	DỊCH	Ny	I-PER	1	nmod
3	BỆNHĐó	Np	I-PER	1	nmod
4	là	V	O	0	root
5	yêu_cầu	N	O	4	dob
6	của	E	O	5	nmod
7	Ban	N	O	6	pob
8	Chỉ_đạo	N	O	7	nmod
9	quốc_gia	N	O	8	nmod
10	phòng	N	O	9	nmod
11	,	CH	O	4	punct
12	chống	V	O	4	vmod
13	dịch	N	O	12	dob
14	Covid-19	N	O	13	nmod
15	tại	E	O	13	loc
16	cuộc	N	O	15	pob
17	họp	V	O	16	nmod
18	Ban	N	O	16	nmod
19	Chỉ_đạo	N	O	18	nmod
20	quốc_gia	N	O	19	nmod
21	phòng	N	O	20	nmod
22	,	CH	O	4	punct
23	chống	V	O	4	vmod
24	dịch	N	O	23	vmod
25	Covid-19	Ny	O	24	nmod
26	đã	R	O	27	adv
27	họp	V	O	23	vmod
28	triển_khai	V	O	27	vmod
29	công_tác	N	O	28	dob
30	phòng	N	O	29	nmod
31	,	CH	O	4	punct
32	chống	V	O	4	vmod
33	dịch	N	O	32	vmod
34	,	CH	O	4	punct
35	ngày	N	O	27	tmp
36	18/6	M	O	35	det
37	.	CH	O	4	punct
1	Báo_cáo	N	O	11	sub
2	của	E	O	1	nmod
3	Ban	N	O	2	pob
4	Chỉ_đạo	N	O	3	nmod
5	quốc_gia	N	O	4	nmod
6	phòng	N	O	5	nmod
7	,	CH	O	1	punct
8	chống	V	O	1	nmod
9	dịch	N	O	8	vmod
10	Covid-19	N	O	9	nmod
11	cho	V	O	0	root
12	biết	V	O	11	vmod
13	,	CH	O	11	punct
14	hiện	N	O	19	tmp
15	trên	E	O	14	loc
16	toàn	N	O	15	pob
17	thế_giới	N	O	16	nmod
18	đã	R	O	19	adv
19	ghi_nhận	V	O	11	vmod
20	8.257.885	M	O	21	det
21	trường_hợp	N	O	19	dob
22	mắc	V	O	21	nmod
23	Covid-19	N	O	22	dob
24	tại	E	O	22	loc
25	215	M	O	26	det
26	quốc_gia	N	O	24	pob
27	vùng	N	O	26	nmod
28	lãnh_thổ	N	O	27	nmod
29	.	CH	O	11	punct
30	16	M	O	31	det
31	quốc_gia	N	O	55	sub
32	có	V	O	31	nmod
33	số	N	O	32	dob
34	mắc	V	O	33	nmod
35	trên	E	O	31	loc
36	100.000	M	O	37	det
37	trường_hợp	N	O	35	pob
38	;	CH	O	11	punct
39	46	M	O	40	det
40	quốc_gia	N	O	41	sub
41	có	V	O	11	vmod
42	số	N	O	41	dob
43	mắc	V	O	42	nmod
44	từ	E	O	42	nmod
45	10.000	M	O	44	dep
46	đến	E	O	44	pmod
47	100.000	M	O	48	det
48	trường_hợp	N	O	46	pob
49	;	CH	O	11	punct
50	61	M	O	51	det
51	quốc_gia	N	O	48	nmod
52	/	CH	O	51	punct
53	vùng	N	O	51	nmod
54	lãnh_thổ	N	O	53	nmod
55	có	V	O	11	vmod
56	số	N	O	55	dob
57	mắc	V	O	56	nmod
58	từ	E	O	57	tmp
59	1.000	M	O	62	det
60	–	CH	O	56	punct
61	10.000	M	O	62	det
62	trường_hợp	N	O	58	pob
63	;	CH	O	11	punct
64	92	M	O	65	det
65	quốc_gia	N	O	69	sub
66	/	CH	O	65	punct
67	vùng	N	O	65	nmod
68	lãnh_thổ	N	O	67	nmod
69	có	V	O	11	vmod
70	dưới	N	O	67	nmod
71	1.000	M	O	72	det
72	trường_hợp	N	O	70	nmod
73	mắc	V	O	72	nmod
74	;	CH	O	11	punct
75	445.986	M	O	76	det
76	trường_hợp	N	O	104	adv
77	tử_vong	V	O	76	nmod
78	;	CH	O	11	punct
79	8	M	O	80	det
80	quốc_gia	N	O	81	sub
81	có	V	O	76	nmod
82	trên	A	O	84	nmod
83	10.000	M	O	84	det
84	trường_hợp	N	O	81	dob
85	tử_vong	V	O	84	nmod
86	,	CH	O	11	punct
87	25	M	O	88	det
88	quốc_gia	N	O	89	sub
89	có	V	O	76	nmod
90	số	N	O	89	dob
91	tử_vong	V	O	90	nmod
92	từ	E	O	91	tmp
93	1.000	M	O	96	det
94	–	CH	O	90	punct
95	10.000	M	O	96	det
96	trường_hợp	N	O	92	pob
97	;	CH	O	99	punct
98	30	M	O	99	det
99	quốc_gia	N	O	104	sub
100	/	CH	O	99	punct
101	vùng	N	O	99	nmod
102	lãnh_thổ	N	O	101	nmod
103	chưa	R	O	104	adv
104	ghi_nhận	V	O	11	vmod
105	ca	N	O	104	dob
106	tử_vong	V	O	105	nmod
107	do	E	O	105	nmod
108	Covid-19	N	O	107	pob
109	(	CH	O	104	punct
110	trong	E	O	112	loc
111	đó	P	O	110	pob
112	có	V	O	104	vmod
113	Việt_Nam	Np	B-LOC	112	dob
114	)	CH	O	11	punct
115	.	CH	O	11	punct
1	Trong	E	O	4	tmp
2	tuần	N	O	1	pob
3	thế_giới	N	O	2	nmod
4	ghi_nhận	V	O	0	root
5	thêm	V	O	4	vmod
6	918.415	M	O	7	det
7	trường_hợp	N	O	4	dob
8	mắc	V	O	7	nmod
9	Covid-19	Ny	O	8	dob
10	và	Cc	O	7	coord
11	31.926	M	O	12	det
12	trường_hợp	N	O	10	conj
13	tử_vong	V	O	12	nmod
14	,	CH	O	4	punct
15	trung_bình	A	O	12	nmod
16	mỗi	M	O	17	det
17	ngày	N	O	15	tmp
18	ghi_nhận	V	O	17	nmod
19	trên	E	O	18	loc
20	110	M	O	22	det
21	nghìn	M	O	22	det
22	ca	N	O	19	pob
23	mắc	A	O	22	nmod
24	và	Cc	O	23	coord
25	gần	A	O	27	nmod
26	4.000	M	O	27	det
27	người	N	O	24	conj
28	tử_vong	V	O	27	nmod
29	.	CH	O	4	punct
